node,isBusStop,isMetroStation,x,y
0,0,0,0,0
100,0,0,0,-1
1,0,0,1,0
101,0,0,1,-1
2,0,0,2,0
102,0,0,2,-1
3,0,0,3,0
103,0,0,3,-1
4,0,0,4,0
104,0,0,4,-1
5,0,0,5,0
105,0,0,5,-1
6,0,0,6,0
106,0,0,6,-1
7,0,0,7,0
107,0,0,7,-1
8,0,0,8,0
108,0,0,8,-1
9,0,0,9,0
109,0,0,9,-1
10,0,0,10,0
110,0,0,10,-1
11,0,0,11,0
111,0,0,11,-1
12,0,0,12,0
112,0,0,12,-1
13,0,0,13,0
113,0,0,13,-1
14,0,0,14,0
114,0,0,14,-1
15,0,0,15,0
115,0,0,15,-1
16,0,0,16,0
116,0,0,16,-1
17,0,0,17,0
117,0,0,17,-1
18,0,0,18,0
118,0,0,18,-1
19,0,0,19,0
119,0,0,19,-1
20,0,0,20,0
120,0,0,20,-1
21,0,0,21,0
121,0,0,21,-1
22,0,0,22,0
122,0,0,22,-1
23,0,0,23,0
123,0,0,23,-1
24,0,0,24,0
124,0,0,24,-1
25,0,0,25,0
125,0,0,25,-1
26,0,0,26,0
126,0,0,26,-1
27,0,0,27,0
127,0,0,27,-1
28,0,0,28,0
128,0,0,28,-1
29,0,0,29,0
129,0,0,29,-1
30,0,0,30,0
130,0,0,30,-1
31,0,0,31,0
131,0,0,31,-1
32,0,0,32,0
132,0,0,32,-1
33,0,0,33,0
133,0,0,33,-1
34,0,0,34,0
134,0,0,34,-1
35,0,0,35,0
135,0,0,35,-1
36,0,0,36,0
136,0,0,36,-1
37,0,0,37,0
137,0,0,37,-1
38,0,0,38,0
138,0,0,38,-1
39,0,0,39,0
139,0,0,39,-1
40,0,0,40,0
140,0,0,40,-1
41,0,0,41,0
141,0,0,41,-1
42,0,0,42,0
142,0,0,42,-1
43,0,0,43,0
143,0,0,43,-1
44,0,0,44,0
144,0,0,44,-1
45,0,0,45,0
145,0,0,45,-1
46,0,0,46,0
146,0,0,46,-1
47,0,0,47,0
147,0,0,47,-1
48,0,0,48,0
148,0,0,48,-1
49,0,0,49,0
149,0,0,49,-1
50,0,0,50,0
150,0,0,50,-1
51,0,0,51,0
151,0,0,51,-1
52,0,0,52,0
152,0,0,52,-1
53,0,0,53,0
153,0,0,53,-1
54,0,0,54,0
154,0,0,54,-1
55,0,0,55,0
155,0,0,55,-1
56,0,0,56,0
156,0,0,56,-1
57,0,0,57,0
157,0,0,57,-1
58,0,0,58,0
158,0,0,58,-1
59,0,0,59,0
159,0,0,59,-1
60,0,0,60,0
160,0,0,60,-1
61,0,0,61,0
161,0,0,61,-1
62,0,0,62,0
162,0,0,62,-1
63,0,0,63,0
163,0,0,63,-1
64,0,0,64,0
164,0,0,64,-1
65,0,0,65,0
165,0,0,65,-1
66,0,0,66,0
166,0,0,66,-1
67,0,0,67,0
167,0,0,67,-1
68,0,0,68,0
168,0,0,68,-1
69,0,0,69,0
169,0,0,69,-1
70,0,0,70,0
170,0,0,70,-1
71,0,0,71,0
171,0,0,71,-1
72,0,0,72,0
172,0,0,72,-1
73,0,0,73,0
173,0,0,73,-1
74,0,0,74,0
174,0,0,74,-1
75,0,0,75,0
175,0,0,75,-1
76,0,0,76,0
176,0,0,76,-1
77,0,0,77,0
177,0,0,77,-1
78,0,0,78,0
178,0,0,78,-1
79,0,0,79,0
179,0,0,79,-1
80,0,0,80,0
180,0,0,80,-1
81,0,0,81,0
181,0,0,81,-1
82,0,0,82,0
182,0,0,82,-1
83,0,0,83,0
183,0,0,83,-1
84,0,0,84,0
184,0,0,84,-1
85,0,0,85,0
185,0,0,85,-1
86,0,0,86,0
186,0,0,86,-1
87,0,0,87,0
187,0,0,87,-1
88,0,0,88,0
188,0,0,88,-1
89,0,0,89,0
189,0,0,89,-1
90,0,0,90,0
190,0,0,90,-1
91,0,0,91,0
191,0,0,91,-1
92,0,0,92,0
192,0,0,92,-1
93,0,0,93,0
193,0,0,93,-1
94,0,0,94,0
194,0,0,94,-1
95,0,0,95,0
195,0,0,95,-1
96,0,0,96,0
196,0,0,96,-1
97,0,0,97,0
197,0,0,97,-1
98,0,0,98,0
198,0,0,98,-1
99,0,0,99,0
199,0,0,99,-1
200,0,0,0,-2
201,0,0,1,-2
202,0,0,2,-2
203,0,0,3,-2
204,0,0,4,-2
205,0,0,5,-2
206,0,0,6,-2
207,0,0,7,-2
208,0,0,8,-2
209,0,0,9,-2
210,0,0,10,-2
211,0,0,11,-2
212,0,0,12,-2
213,0,0,13,-2
214,0,0,14,-2
215,0,0,15,-2
216,0,0,16,-2
217,0,0,17,-2
218,0,0,18,-2
219,0,0,19,-2
220,0,0,20,-2
221,0,0,21,-2
222,0,0,22,-2
223,0,0,23,-2
224,0,0,24,-2
225,0,0,25,-2
226,0,0,26,-2
227,0,0,27,-2
228,0,0,28,-2
229,0,0,29,-2
230,0,0,30,-2
231,0,0,31,-2
232,0,0,32,-2
233,0,0,33,-2
234,0,0,34,-2
235,0,0,35,-2
236,0,0,36,-2
237,0,0,37,-2
238,0,0,38,-2
239,0,0,39,-2
240,0,0,40,-2
241,0,0,41,-2
242,0,0,42,-2
243,0,0,43,-2
244,0,0,44,-2
245,0,0,45,-2
246,0,0,46,-2
247,0,0,47,-2
248,0,0,48,-2
249,0,0,49,-2
250,0,0,50,-2
251,0,0,51,-2
252,0,0,52,-2
253,0,0,53,-2
254,0,0,54,-2
255,0,0,55,-2
256,0,0,56,-2
257,0,0,57,-2
258,0,0,58,-2
259,0,0,59,-2
260,0,0,60,-2
261,0,0,61,-2
262,0,0,62,-2
263,0,0,63,-2
264,0,0,64,-2
265,0,0,65,-2
266,0,0,66,-2
267,0,0,67,-2
268,0,0,68,-2
269,0,0,69,-2
270,0,0,70,-2
271,0,0,71,-2
272,0,0,72,-2
273,0,0,73,-2
274,0,0,74,-2
275,0,0,75,-2
276,0,0,76,-2
277,0,0,77,-2
278,0,0,78,-2
279,0,0,79,-2
280,0,0,80,-2
281,0,0,81,-2
282,0,0,82,-2
283,0,0,83,-2
284,0,0,84,-2
285,0,0,85,-2
286,0,0,86,-2
287,0,0,87,-2
288,0,0,88,-2
289,0,0,89,-2
290,0,0,90,-2
291,0,0,91,-2
292,0,0,92,-2
293,0,0,93,-2
294,0,0,94,-2
295,0,0,95,-2
296,0,0,96,-2
297,0,0,97,-2
298,0,0,98,-2
299,0,0,99,-2
300,0,0,0,-3
301,0,0,1,-3
302,0,0,2,-3
303,0,0,3,-3
304,0,0,4,-3
305,0,0,5,-3
306,0,0,6,-3
307,0,0,7,-3
308,0,0,8,-3
309,0,0,9,-3
310,0,0,10,-3
311,0,0,11,-3
312,0,0,12,-3
313,0,0,13,-3
314,0,0,14,-3
315,0,0,15,-3
316,0,0,16,-3
317,0,0,17,-3
318,0,0,18,-3
319,0,0,19,-3
320,0,0,20,-3
321,0,0,21,-3
322,0,0,22,-3
323,0,0,23,-3
324,0,0,24,-3
325,0,0,25,-3
326,0,0,26,-3
